"site","site_reach","year","field_date","sample_type","calothrix","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","scytonema","unknown"
"RUS","RUS-1S",2022,"2022-07-20","TAC",0,8.23045267489712,3.7037037037037,0,79.4238683127572,0,0,0,0,0,6.99588477366255,0,0,1.64609053497943,0,0,0
"RUS","RUS-1S",2022,"2022-08-02","TAC",0,6.25,2.91666666666667,0,83.3333333333333,0,0,0,0,0,5.41666666666667,0,0,2.08333333333333,0,0,0
"RUS","RUS-1S",2022,"2022-08-17","TAC",0,23.0125523012552,5.23012552301255,0,28.765690376569,0,0,0,0.104602510460251,0,26.1506276150628,0,9.41422594142259,7.32217573221757,0,0,0
"RUS","RUS-1S",2022,"2022-09-01","TAC",0,15.1216305062459,6.57462195923735,0,36.1604207758054,0.0657462195923735,0,0,3.28731097961867,0,16.4365548980934,0,3.28731097961867,10.5193951347798,5.91715976331362,0,2.62984878369494
"RUS","RUS-1S",2022,"2022-09-15","TAC",0,12.1693121693122,2.11640211640212,0,41.6931216931217,0,0,0,0.105820105820106,0,25.3968253968254,0,9.52380952380953,6.87830687830688,2.11640211640212,0,0
"RUS","RUS-2",2022,"2022-07-20","TAC",0,7.47663551401869,6.07476635514019,0,75.0934579439252,0,0,0,0.140186915887851,0,9.81308411214954,0,0,1.40186915887851,0,0,0
"RUS","RUS-2",2022,"2022-08-02","TAC",0,7.56756756756756,2.70270270270271,0,69.1891891891892,0,0,0,0,0,8.64864864864864,8.64864864864864,0,3.24324324324325,0,0,0
"RUS","RUS-2",2022,"2022-08-17","TAC",0,19.4756554307117,16.4794007490637,0,30.7116104868913,0,0,0,0.149812734082397,0,26.2172284644195,0,0.224719101123595,6.74157303370786,0,0,0
"RUS","RUS-2",2022,"2022-09-01","TAC",0,12.6671358198452,6.33356790992258,0,49.2610837438424,0,0,0,0.774102744546094,0,12.6671358198452,0,2.11118930330753,7.74102744546094,8.44475721323011,0,0
"RUS","RUS-2",2022,"2022-09-15","TAC",0,5.23560209424085,8.90052356020943,0,46.0209424083769,0,0,0,0.0523560209424085,0,19.3717277486911,0,2.61780104712042,10.9947643979058,6.80628272251309,0,0
"RUS","RUS-3",2022,"2022-07-20","TAC",0,5.08474576271186,2.96610169491525,0,78.8135593220339,0,0,0,0,0,6.35593220338983,0,0,6.77966101694915,0,0,0
"RUS","RUS-3",2022,"2022-08-02","TAC",0,7.33944954128441,3.6697247706422,0,75.2293577981651,0,0,0,0,0,9.1743119266055,0,0,4.58715596330276,0,0,0
"RUS","RUS-3",2022,"2022-08-17","TAC",0,26.7286461359675,11.0400929692039,0,23.8233585124928,0,0,0,0.0581057524694945,0,28.4718187100522,0.581057524694945,0,9.29692039511911,0,0,0
"RUS","RUS-3",2022,"2022-09-01","TAC",0,9.17874396135265,5.31400966183575,0,54.9275362318841,0,0,4.83091787439614,0.144927536231884,0,13.5265700483092,0,1.44927536231884,6.28019323671497,1.44927536231884,0,2.89855072463768
"RUS","RUS-3",2022,"2022-09-15","TAC",0,6.56565656565657,9.09090909090909,0,39.2929292929293,0,0,0,0.101010101010101,0,18.6868686868687,0,5.05050505050505,11.1111111111111,10.1010101010101,0,0
"SAL","SAL-3",2022,"2022-09-22","TAC",0,13.6612021857924,10.3825136612022,0,42.9508196721311,0,0,0,0.163934426229508,0,20.2185792349727,0,0.546448087431694,12.0218579234973,0.0546448087431694,0,0
"SFE-M","SFE-M-1S",2022,"2022-07-14","TAC",0,21.8009478672985,2.36966824644549,0,51.4218009478673,0,0,0,0.0947867298578199,0.0947867298578199,20.3791469194313,0.04739336492891,0,3.7914691943128,0,0,0
"SFE-M","SFE-M-1S",2022,"2022-07-28","TAC",0,22.2222222222222,4.34782608695652,0,57.3429951690821,0,0,0,0.144927536231884,0,14.4927536231884,0,0,1.44927536231884,0,0,0
"SFE-M","SFE-M-1S",2022,"2022-08-10","TAC",0,11.5606936416185,12.3864574731627,0,28.9017341040462,0,0,0,25.5986787778695,0,12.3864574731627,0,0.0825763831544178,9.08340214698596,0,0,0
"SFE-M","SFE-M-1S",2022,"2022-09-06","TAC",0,11.1650485436893,1.45631067961165,0,43.1553398058252,0,0,0,0.0485436893203883,0,23.7864077669903,11.1650485436893,0,9.22330097087379,0,0,0
"SFE-M","SFE-M-1S",2022,"2022-09-17","TAC",2.24215246636772,8.07174887892376,6.2780269058296,0.896860986547085,54.7085201793722,0,0,0,0,0,13.9013452914798,1.79372197309417,2.24215246636772,8.07174887892376,0,1.79372197309417,0
"SFE-M","SFE-M-3",2022,"2022-07-14","TAC",0,19.5767195767196,6.87830687830689,0,38.8359788359788,0,0,0.105820105820106,1.11111111111111,0.105820105820106,19.047619047619,0.52910052910053,0,13.7566137566138,0,0,0.052910052910053
"SFE-M","SFE-M-3",2022,"2022-07-28","TAC",0,15.6565656565657,6.56565656565656,0,52.3737373737373,0,0,0,3.03030303030303,0,14.1414141414142,0.505050505050504,0.151515151515151,7.57575757575758,0,0,0
"SFE-M","SFE-M-3",2022,"2022-08-10","TAC",0,26.8817204301075,5.37634408602151,0,22.273425499232,0,0,0,0.921658986175116,0,28.4178187403994,0,0,16.1290322580645,0,0,0
"SFE-M","SFE-M-3",2022,"2022-08-23","TAC",0,11.587982832618,4.29184549356223,0,68.068669527897,0,0,0,0.128755364806867,0.0429184549356223,10.7296137339056,0,0,5.15021459227467,0,0,0
"SFE-M","SFE-M-4",2022,"2022-07-14","TAC",0,10.8333333333333,3.33333333333333,0,73.25,0,0,0,0.0416666666666667,0.0416666666666667,9.58333333333333,0,0,2.91666666666666,0,0,0
"SFE-M","SFE-M-4",2022,"2022-07-28","TAC",0,19.7674418604651,6.97674418604651,0,42.9651162790698,0,0,0,1.74418604651163,0,18.0232558139535,0,0.058139534883721,10.4651162790698,0,0,0
"SFE-M","SFE-M-4",2022,"2022-08-10","TAC",0,15.3439153439154,12.1693121693122,0,38.6243386243386,0,0.529100529100528,0,9.52380952380951,0,14.2857142857143,0,0,9.52380952380951,0,0,0
